"Tue, 25/FEB, 19:00:48",140.72,42
"Tue, 25/FEB, 19:15:47",140.56,41
"Tue, 25/FEB, 19:30:48",141.45,47
"Tue, 25/FEB, 19:45:48",142.1,53
"Tue, 25/FEB, 20:00:48",144.87,69
"Tue, 25/FEB, 20:07:55",144.34,69
"Tue, 25/FEB, 20:11:16",143.57,69
"Tue, 25/FEB, 20:16:05",143.79,61
"Tue, 25/FEB, 20:30:48",144.38,51
"Tue, 25/FEB, 20:45:51",144.79,56
"Tue, 25/FEB, 21:00:47",144.85,56
"Tue, 25/FEB, 21:15:49",143.73,43
"Tue, 25/FEB, 21:30:48",143.7,45
"Tue, 25/FEB, 21:45:47",144.25,51
"Tue, 25/FEB, 22:00:47",145.52,61
"Tue, 25/FEB, 22:15:47",144.95,53
"Tue, 25/FEB, 22:30:47",144.29,42
"Tue, 25/FEB, 22:45:48",143.96,41
"Tue, 25/FEB, 23:00:48",145.12,52
"Tue, 25/FEB, 23:15:48",145.38,54
"Tue, 25/FEB, 23:30:47",145.42,54
"Tue, 25/FEB, 23:45:48",144.45,45
"Wed, 26/FEB, 00:00:48",144.06,40
"Wed, 26/FEB, 00:15:48",144.24,43
"Wed, 26/FEB, 00:30:48",143.64,39
"Wed, 26/FEB, 00:45:47",142.65,32
"Wed, 26/FEB, 01:00:48",141.78,29
"Wed, 26/FEB, 01:15:47",142.19,37
"Wed, 26/FEB, 01:30:47",142.26,40
"Wed, 26/FEB, 01:45:47",142.4,41
"Wed, 26/FEB, 02:00:47",142.88,45
"Wed, 26/FEB, 02:15:47",142.58,41
"Wed, 26/FEB, 02:30:47",142.39,38
"Wed, 26/FEB, 02:45:47",142.16,36
"Wed, 26/FEB, 03:00:47",143.27,50
"Wed, 26/FEB, 03:15:47",144.28,60
"Wed, 26/FEB, 03:30:47",144.6,57
"Wed, 26/FEB, 03:45:47",143.01,43
"Wed, 26/FEB, 04:00:48",143.21,41
"Wed, 26/FEB, 04:15:47",143.53,45
"Wed, 26/FEB, 04:30:47",144.34,53
"Wed, 26/FEB, 04:45:47",143.57,47
"Wed, 26/FEB, 05:00:47",142.51,34
"Wed, 26/FEB, 05:15:47",142.69,36
"Wed, 26/FEB, 05:30:48",142.36,39
"Wed, 26/FEB, 05:45:47",142.44,39
"Wed, 26/FEB, 06:00:48",141.24,34
"Wed, 26/FEB, 06:15:47",141.34,35
"Wed, 26/FEB, 06:30:47",141.54,41
"Wed, 26/FEB, 06:45:47",141.8,42
"Wed, 26/FEB, 07:00:47",142.31,47
"Wed, 26/FEB, 07:15:47",141.93,44
"Wed, 26/FEB, 07:30:47",141.15,36
"Wed, 26/FEB, 07:45:47",139.98,27
"Wed, 26/FEB, 08:00:48",140.18,31
"Wed, 26/FEB, 08:15:47",139.18,31
"Wed, 26/FEB, 08:30:47",140.13,39
"Wed, 26/FEB, 08:45:49",139.96,43
"Wed, 26/FEB, 09:00:48",139.98,42
"Wed, 26/FEB, 09:15:48",140.6,46
"Wed, 26/FEB, 09:30:48",140.44,43
"Wed, 26/FEB, 09:45:47",141.57,57
"Wed, 26/FEB, 10:00:47",141.67,60
"Wed, 26/FEB, 10:15:47",140.56,43
"Wed, 26/FEB, 10:30:49",140.37,39
"Wed, 26/FEB, 10:45:47",141.12,46
"Wed, 26/FEB, 11:00:48",140.42,43
"Wed, 26/FEB, 11:15:47",140.15,41
"Wed, 26/FEB, 11:30:48",139.73,37
"Wed, 26/FEB, 11:45:49",138.47,29
"Wed, 26/FEB, 12:00:47",138.07,29
"Wed, 26/FEB, 12:15:48",138.21,36
"Wed, 26/FEB, 12:30:49",138.19,37
"Wed, 26/FEB, 12:45:47",136.91,31
"Wed, 26/FEB, 13:00:47",137.09,32
"Wed, 26/FEB, 13:15:47",136.72,32
"Wed, 26/FEB, 13:30:50",136.89,35
"Wed, 26/FEB, 13:45:49",136.82,38
"Wed, 26/FEB, 14:00:48",136.35,34
"Wed, 26/FEB, 14:15:47",135.99,32
"Wed, 26/FEB, 14:30:47",134.72,24
"Wed, 26/FEB, 14:45:47",136.82,49
"Wed, 26/FEB, 15:00:48",138.43,70
"Wed, 26/FEB, 15:15:48",139.15,72
"Wed, 26/FEB, 15:30:47",138.61,59
"Wed, 26/FEB, 15:45:47",139.48,59
"Wed, 26/FEB, 16:00:49",139.19,57
"Wed, 26/FEB, 16:15:47",138,39
"Wed, 26/FEB, 16:30:47",138.32,43
"Wed, 26/FEB, 16:45:47",137.52,42
"Wed, 26/FEB, 17:00:47",137.01,37
"Wed, 26/FEB, 17:15:48",137.21,41
"Wed, 26/FEB, 17:30:47",136.14,37
"Wed, 26/FEB, 17:45:47",135.32,30
"Wed, 26/FEB, 18:00:48",134.06,26
"Wed, 26/FEB, 18:15:47",134.15,32
"Wed, 26/FEB, 18:30:47",133.18,30
"Wed, 26/FEB, 18:45:47",133.09,29
"Wed, 26/FEB, 19:00:48",131.02,24
"Wed, 26/FEB, 19:15:48",133.02,36
"Wed, 26/FEB, 19:30:48",131.69,33
"Wed, 26/FEB, 19:45:47",131.76,36
